Code,Area,16-18 Year Old Students Entered for Level 3 Qualifications; Total,Average Level 3 QCDA Point Score Per Student,Average Level 3 QCDA Point Score Per Entry; All Students,Students Achieving 2 or More Passes of A Level Equivalent Size,16-18 Year Old Students Entered for Level 3 Qualifications; Male,Average Level 3 QCDA Point Score Per Male Student,Average Level 3 QCDA Point Score Per Entry; Male Students,Male Students Achieving 2 or More Passes of A Level Equivalent Size,16-18 Year Old Students Entered for Level 3 Qualifications; Female,Average Level 3 QCDA Point Score Per Female Student,Average Level 3 QCDA Point Score Per Entry; Female Students,Female Students Achieving 2 or More Passes of A Level Equivalent Size
E09000001,City of London,9,567.5,188.1,100,x,522,169.5,x,x,624.4,212.6,x
E09000002,Barking and Dagenham,1251,689.8,212.2,94.5,579,679.9,212.7,95.5,672,698.3,211.7,93.6
E09000003,Barnet,2291,762.8,225.2,96.8,1050,745.8,223.5,96.3,1241,777.2,226.6,97.2
E09000004,Bexley,1677,726.9,212.4,93,784,708,209.2,92.3,893,743.6,215.1,93.6
E09000005,Brent,1979,722.3,215.7,97.5,913,708.7,214.6,97.6,1066,733.8,216.6,97.5
E09000006,Bromley,2156,760.4,218.7,96,999,741.4,214.2,96.3,1157,776.9,222.5,95.7
E09000007,Camden,705,680.5,214.4,93.8,319,660.9,210.6,92.8,386,696.7,217.4,94.6
E09000008,Croydon,2574,725,218.8,95.5,1215,709.6,216.7,95.8,1359,738.9,220.7,95.1
E09000009,Ealing,2124,728.2,212.3,96.6,1042,713.8,211.5,95.7,1082,742.1,213.1,97.4
E09000010,Enfield,2384,690.5,217.6,95.1,1073,671.7,216,94.8,1311,705.9,218.9,95.3
E09000011,Greenwich,1284,684.5,210.6,93.1,576,668.2,208.7,93.1,708,697.7,212.2,93.1
E09000012,Hackney,1193,668.4,211.9,96,540,660.3,212.8,95.7,653,675.2,211.2,96.2
E09000013,Hammersmith and Fulham,586,690.1,212.3,96.6,276,652.7,207.8,,310,723.4,216,
E09000014,Haringey,1451,685,215.7,95.7,664,656,210.8,94.6,787,709.4,219.7,96.6
E09000015,Harrow,1898,795.4,223.9,98.2,948,784.5,221.1,98.5,950,806.1,226.6,97.8
E09000016,Havering,1618,743.4,208.1,97,728,716.8,204.9,97.9,890,765.2,210.6,96.3
E09000017,Hillingdon,1937,723.3,211.2,96.5,927,703.3,207.4,96,1010,741.6,214.6,96.9
E09000018,Hounslow,1519,707.8,211.6,95.1,724,695.9,209.3,94.6,795,718.7,213.7,95.6
E09000019,Islington,784,688.1,213.8,96,373,667.2,212,95.2,411,707,215.4,96.8
E09000020,Kensington and Chelsea,329,705.3,213.2,98.2,,732.5,216.8,,,680,209.7,
E09000021,Kingston upon Thames,1009,769,219,96,468,748.3,217.3,94.4,541,787,220.4,97.4
E09000022,Lambeth,1376,669.9,212,93.8,624,653.3,210.8,92.9,752,683.8,213,94.5
E09000023,Lewisham,1512,691.9,211.7,94.3,663,671,209.7,92.3,849,708.2,213.2,95.9
E09000024,Merton,1217,717.1,216.7,93.2,603,697.5,212.9,91.7,614,736.4,220.4,94.6
E09000025,Newham,2181,642.9,209.1,90.7,974,622.1,207,90,1207,659.6,210.7,91.3
E09000026,Redbridge,2386,719.1,214.5,96.3,1133,712.7,211.8,96.9,1253,724.9,216.9,95.8
E09000027,Richmond upon Thames,894,783.9,216.8,97.3,411,733.9,207.9,96.6,483,826.3,224.1,97.9
E09000028,Southwark,1334,666.2,208.6,94.8,579,649.6,205.5,93.8,755,678.9,210.9,95.5
E09000029,Sutton,1501,763.6,219.7,94.7,718,750.1,217.9,94.8,783,775.9,221.3,94.6
E09000030,Tower Hamlets,1120,654,206.1,93.7,492,624.6,200.8,91.5,628,677.1,210.2,95.4
E09000031,Waltham Forest,1733,699,210.8,94.6,791,689.6,208.2,94.7,942,707,212.9,94.6
E09000032,Wandsworth,1026,698.3,215.4,94.4,443,674.2,210.8,93.9,583,716.6,218.9,94.9
E09000033,Westminster,619,687.4,210.8,95.2,291,663.8,206.4,92.4,328,708.4,214.5,97.6
,,,,,,,,,,,,,
E12000001,North East,15376,720.6,212.7,93.4,7069,700.5,208.9,93.7,8307,737.8,215.8,93.2
E12000002,North West,46393,757.2,215.6,94.3,21469,740.5,211.8,94.7,24924,771.5,218.8,94
E12000003,Yorkshire and The Humber,32117,738.5,209.9,94.2,14946,722.3,206,94,17171,752.7,213.3,94.4
E12000004,East Midlands,27767,719.3,208.9,93.2,13072,700.6,204.5,92.7,14695,735.8,212.8,93.6
E12000005,West Midlands,35639,710.1,211.5,92.7,16431,690.8,207.6,92,19208,726.6,214.7,93.3
E12000006,East of England,37608,739.9,213.7,94.6,17463,725.8,209.8,94.8,20145,752,217,94.4
E12000007,London,47657,714.1,214.6,95.3,22084,697.4,212.2,94.9,25573,728.6,216.7,95.6
E12000008,South East,54713,742.7,215,93.8,25763,726.1,210.6,93.8,28950,757.4,218.9,93.8
E12000009,South West,31835,732,214.8,94.4,14854,714.2,210,94.7,16981,747.5,219,94.1
,,,,,,,,,,,,,
E92000001,England,335681,728.3,213.1,93.6,156488,710.9,209.2,93.5,179193,743.5,216.5,93.7
