Code,Area,16 or under,17-19,20-23,24+,Still in education,Never had education,,16 or under-95,17-19-95,20-23-95,24+-95,Still in education-95,Never had education-95
E09000001,City of London,-,-,-,-,-,-,,-,-,-,-,-,-
E09000002,Barking and Dagenham,"52,000","24,000","17,000","7,000","9,000",-,,"6,000","4,000","3,000","2,000","3,000",-
E09000003,Barnet,"54,000","64,000","73,000","21,000","20,000",-,,"8,000","9,000","10,000","5,000","5,000",-
E09000004,Bexley,"76,000","49,000","16,000","6,000","7,000",-,,"9,000","7,000","4,000","2,000","3,000",-
E09000005,Brent,"43,000","65,000","54,000","20,000","19,000","7,000",,"7,000","9,000","8,000","5,000","5,000","3,000"
E09000006,Bromley,"77,000","57,000","45,000","10,000","15,000",-,,"10,000","9,000","8,000","4,000","5,000",-
E09000007,Camden,"30,000","31,000","53,000","26,000","15,000",-,,"5,000","5,000","6,000","4,000","4,000",-
E09000008,Croydon,"84,000","63,000","54,000","19,000","17,000",-,,"12,000","11,000","10,000","6,000","6,000",-
E09000009,Ealing,"51,000","49,000","83,000","20,000","22,000","7,000",,"9,000","9,000","12,000","6,000","6,000","3,000"
E09000010,Enfield,"70,000","55,000","44,000","11,000","16,000",-,,"9,000","8,000","7,000","4,000","4,000",-
E09000011,Greenwich,"54,000","48,000","36,000","12,000","13,000",-,,"8,000","8,000","7,000","4,000","4,000",-
E09000012,Hackney,"38,000","48,000","48,000","14,000","12,000",-,,"6,000","7,000","7,000","4,000","3,000",-
E09000013,Hammersmith and Fulham,"33,000","23,000","50,000","18,000","9,000",-,,"5,000","4,000","7,000","4,000","3,000",-
E09000014,Haringey,"44,000","37,000","59,000","15,000","14,000","6,000",,"7,000","7,000","8,000","4,000","4,000","2,000"
E09000015,Harrow,"37,000","45,000","45,000","14,000","14,000",-,,"6,000","6,000","7,000","4,000","4,000",-
E09000016,Havering,"92,000","33,000","18,000","4,000","9,000",-,,"9,000","6,000","4,000","2,000","3,000",-
E09000017,Hillingdon,"68,000","48,000","33,000","9,000","14,000","4,000",,"8,000","7,000","6,000","3,000","4,000","2,000"
