Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,PupilsScience-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%PassScience-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,PupilsScience-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%PassScience-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,PupilsScience-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%PassScience-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000001,City of London,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*
E09000002,Barking and Dagenham,3643,3643,3643,3643,75,68,75,82,24,14,21,,1836,1836,1836,1836,71,62,73,80,21,11,22,,1807,1807,1807,1807,79,75,77,84,26,17,19
E09000003,Barnet,4275,4275,4275,4275,77,68,74,83,25,15,20,,2229,2229,2229,2229,74,63,75,82,23,12,23,,2046,2046,2046,2046,80,74,74,84,27,18,17
E09000004,Bexley,3145,3145,3145,3145,81,75,80,86,26,17,21,,1564,1564,1564,1564,79,70,80,84,23,13,23,,1581,1581,1581,1581,83,80,80,87,29,20,20
E09000005,Brent,3844,3844,3844,3844,75,68,74,80,24,14,20,,1946,1946,1946,1946,72,64,74,77,21,11,22,,1898,1898,1898,1898,77,73,75,82,26,17,19
E09000006,Bromley,3838,3838,3838,3838,80,72,79,87,30,19,25,,1976,1976,1976,1976,76,65,79,85,26,14,27,,1862,1862,1862,1862,84,79,79,89,35,24,23
E09000007,Camden,1633,1633,1633,1633,75,66,74,82,23,11,18,,825,825,825,825,71,61,75,81,21,8,21,,808,808,808,808,79,72,74,84,26,15,15
E09000008,Croydon,4753,4753,4753,4753,76,69,74,83,27,15,21,,2351,2351,2351,2351,73,62,73,80,24,12,24,,2402,2402,2402,2402,80,75,75,86,30,19,18
E09000009,Ealing,4537,4537,4537,4537,72,62,72,79,20,12,17,,2287,2287,2287,2287,68,55,72,76,17,9,19,,2250,2250,2250,2250,75,69,72,82,22,15,15
E09000010,Enfield,4638,4638,4638,4638,73,66,72,77,21,14,17,,2407,2407,2407,2407,69,60,71,74,19,11,19,,2231,2231,2231,2231,77,72,73,80,24,18,16
E09000011,Greenwich,3459,3459,3459,3459,81,76,82,86,34,24,32,,1756,1756,1756,1756,77,70,81,84,30,19,33,,1703,1703,1703,1703,85,82,83,89,38,29,31
E09000012,Hackney,2698,2698,2698,2698,81,78,82,85,28,20,25,,1393,1393,1393,1393,77,73,80,82,25,15,26,,1305,1305,1305,1305,85,83,84,89,33,26,24
E09000013,Hammersmith and Fulham,1494,1494,1494,1494,78,70,77,83,32,18,26,,751,751,751,751,75,66,77,81,30,16,30,,743,743,743,743,81,75,77,86,33,20,22
E09000014,Haringey,3138,3138,3138,3138,78,74,78,83,28,19,25,,1545,1545,1545,1545,74,69,78,81,25,15,28,,1593,1593,1593,1593,81,80,79,86,30,22,22
E09000015,Harrow,3074,3074,3074,3074,77,71,77,85,25,16,23,,1579,1579,1579,1579,72,63,75,81,21,11,25,,1495,1495,1495,1495,83,79,80,89,29,21,22
E09000016,Havering,3159,3159,3159,3159,77,70,77,86,25,16,20,,1630,1630,1630,1630,72,63,76,84,22,12,22,,1529,1529,1529,1529,82,78,78,89,29,22,17
E09000017,Hillingdon,4178,4178,4178,4178,75,66,75,81,23,13,19,,2138,2138,2138,2138,70,59,74,78,20,9,22,,2040,2040,2040,2040,80,74,77,84,26,17,16
E09000018,Hounslow,3359,3359,3359,3359,79,74,79,86,31,22,28,,1733,1733,1733,1733,77,69,79,84,25,16,29,,1626,1626,1626,1626,82,79,79,88,36,27,28
E09000019,Islington,2033,2033,2033,2033,75,69,73,80,24,15,21,,997,997,997,997,73,65,74,78,21,11,25,,1036,1036,1036,1036,77,72,73,82,26,19,17
E09000020,Kensington and Chelsea,986,986,986,986,81,75,80,88,26,20,23,,508,508,508,508,78,72,78,86,25,17,27,,478,478,478,478,84,79,82,89,27,23,19
E09000021,Kingston upon Thames,2004,2004,2004,2004,76,65,75,85,29,16,19,,995,995,995,995,72,59,76,84,27,13,23,,1009,1009,1009,1009,79,71,74,87,32,20,16
E09000022,Lambeth,3195,3195,3195,3195,78,72,76,84,25,16,20,,1640,1640,1640,1640,74,66,75,81,23,12,23,,1555,1555,1555,1555,82,78,77,86,28,19,18
