Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000001,City of London,26,26,26,88,92,92,31,50,38,17,17,17,82,88,88,29,47,x,9,9,9,100,100,100,33,56,x
E09000002,Barking and Dagenham,"3,166","3,166","3,166",72,81,81,21,39,25,"1,673","1,673","1,673",69,77,79,19,34,26,"1,493","1,493","1,493",76,86,82,24,46,24
E09000003,Barnet,"3,782","3,782","3,782",78,85,82,32,43,32,"1,949","1,949","1,949",77,83,83,30,41,35,"1,833","1,833","1,833",80,87,82,33,45,29
E09000004,Bexley,"2,972","2,972","2,972",75,80,77,27,38,27,"1,519","1,519","1,519",70,77,77,23,33,27,"1,453","1,453","1,453",79,83,77,31,44,27
E09000005,Brent,"3,563","3,563","3,563",69,81,78,22,40,29,"1,818","1,818","1,818",65,77,77,19,35,30,"1,745","1,745","1,745",74,86,79,25,46,28
E09000006,Bromley,"3,436","3,436","3,436",84,85,86,38,42,35,"1,785","1,785","1,785",80,81,84,33,36,37,"1,651","1,651","1,651",87,89,87,43,48,34
E09000007,Camden,"1,472","1,472","1,472",76,83,82,28,41,28,773,773,773,75,81,82,28,40,31,699,699,699,78,84,82,29,43,25
E09000008,Croydon,"4,173","4,173","4,173",73,80,78,24,35,27,"2,116","2,116","2,116",70,76,77,20,30,29,"2,057","2,057","2,057",77,84,79,28,39,25
E09000009,Ealing,"3,903","3,903","3,903",73,84,81,25,42,30,"2,048","2,048","2,048",69,80,81,21,37,31,"1,855","1,855","1,855",77,88,82,29,46,29
E09000010,Enfield,"4,281","4,281","4,281",67,78,75,21,34,22,"2,135","2,135","2,135",64,73,75,19,30,24,"2,146","2,146","2,146",71,83,76,23,37,21
E09000011,Greenwich,"3,130","3,130","3,130",78,82,82,29,39,30,"1,556","1,556","1,556",76,78,81,25,34,32,"1,574","1,574","1,574",80,85,83,32,44,29
E09000012,Hackney,"2,494","2,494","2,494",78,84,83,28,38,28,"1,253","1,253","1,253",76,80,82,24,34,29,"1,241","1,241","1,241",80,87,84,33,42,27
E09000013,Hammersmith and Fulham,"1,276","1,276","1,276",82,87,86,35,47,35,669,669,669,80,82,85,33,45,38,607,607,607,85,92,86,36,50,32
E09000014,Haringey,"2,827","2,827","2,827",72,81,79,28,38,27,"1,416","1,416","1,416",70,77,78,26,35,30,"1,411","1,411","1,411",75,85,79,30,41,24
E09000015,Harrow,"2,717","2,717","2,717",77,87,85,30,48,37,"1,404","1,404","1,404",76,85,85,28,45,41,"1,313","1,313","1,313",78,89,84,31,50,34
E09000016,Havering,"2,796","2,796","2,796",80,84,83,28,39,32,"1,435","1,435","1,435",76,81,83,24,35,33,"1,361","1,361","1,361",84,88,84,33,44,30
E09000017,Hillingdon,"3,563","3,563","3,563",72,83,80,24,40,29,"1,823","1,823","1,823",70,80,80,21,36,31,"1,740","1,740","1,740",74,86,79,27,45,27
E09000018,Hounslow,"2,888","2,888","2,888",73,84,81,25,43,32,"1,523","1,523","1,523",71,80,80,21,38,32,"1,365","1,365","1,365",76,88,82,29,49,31
E09000019,Islington,"1,811","1,811","1,811",74,81,79,29,37,27,944,944,944,70,77,78,25,33,28,867,867,867,79,86,81,32,41,27
E09000020,Kensington and Chelsea,928,928,928,84,91,89,39,52,39,461,461,461,81,87,88,35,48,40,467,467,467,87,95,90,43,55,39
E09000021,Kingston upon Thames,"1,620","1,620","1,620",77,86,82,32,38,31,835,835,835,75,84,83,29,36,34,785,785,785,79,88,81,36,41,28
E09000022,Lambeth,"2,914","2,914","2,914",79,85,83,29,40,30,"1,455","1,455","1,455",76,82,83,25,36,30,"1,459","1,459","1,459",81,87,83,32,45,29
E09000023,Lewisham,"3,277","3,277","3,277",72,77,74,25,35,24,"1,588","1,588","1,588",67,73,73,22,31,26,"1,689","1,689","1,689",76,81,76,29,39,24
E09000024,Merton,"2,059","2,059","2,059",77,84,81,29,41,31,"1,001","1,001","1,001",74,81,82,24,36,33,"1,058","1,058","1,058",80,86,80,34,45,29
E09000025,Newham,"4,352","4,352","4,352",76,86,83,24,44,33,"2,192","2,192","2,192",72,83,84,22,41,35,"2,160","2,160","2,160",79,88,83,26,48,31
E09000026,Redbridge,"3,763","3,763","3,763",76,84,81,28,44,36,"1,915","1,915","1,915",73,81,82,25,39,38,"1,848","1,848","1,848",79,86,80,32,48,33
E09000027,Richmond upon Thames,"2,064","2,064","2,064",86,90,87,44,51,41,"1,050","1,050","1,050",84,87,87,41,47,45,"1,014","1,014","1,014",88,92,86,47,55,36
E09000028,Southwark,"2,999","2,999","2,999",73,81,79,24,35,23,"1,533","1,533","1,533",71,78,77,21,31,24,"1,466","1,466","1,466",75,84,80,26,38,22
E09000029,Sutton,"2,100","2,100","2,100",81,84,84,33,44,36,"1,084","1,084","1,084",77,81,83,30,39,37,"1,016","1,016","1,016",84,88,84,37,49,36
E09000030,Tower Hamlets,"3,198","3,198","3,198",75,84,81,24,40,27,"1,580","1,580","1,580",72,80,81,21,36,30,"1,618","1,618","1,618",78,88,81,28,44,24
E09000031,Waltham Forest,"3,164","3,164","3,164",74,82,80,26,38,29,"1,583","1,583","1,583",71,79,80,24,33,30,"1,581","1,581","1,581",78,85,81,28,44,28
E09000032,Wandsworth,"2,278","2,277","2,278",76,84,80,29,41,31,"1,185","1,185","1,185",73,80,80,24,37,33,"1,093","1,092","1,093",79,87,80,34,45,28
E09000033,Westminster,"1,435","1,435","1,435",77,86,84,26,45,31,714,714,714,73,81,83,23,40,33,721,721,721,80,91,84,29,49,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"31,287","31,286","31,287",76,83,81,27,40,29,"15,780","15,780","15,780",73,80,81,24,36,31,"15,507","15,506","15,507",79,87,82,30,44,27
E13000002,Outer London,"59,140","59,140","59,140",75,83,81,28,41,31,"30,252","30,252","30,252",72,80,81,24,36,32,"28,888","28,888","28,888",78,86,81,31,45,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"28,631","28,631","28,630",74,79,78,24,30,23,"14,561","14,561","14,560",71,75,78,21,26,25,"14,070","14,070","14,070",76,83,79,28,35,22
E12000002,North West,"82,064","82,045","82,028",72,78,76,23,30,22,"42,030","42,022","42,010",69,74,75,20,26,23,"40,034","40,023","40,018",75,82,76,26,34,20
E12000003,Yorkshire and the Humber,"61,031","61,029","61,029",68,75,73,22,27,20,"31,163","31,162","31,162",65,70,72,19,23,22,"29,868","29,867","29,867",72,79,74,25,32,19
E12000004,East Midlands,"51,313","51,311","51,310",70,76,73,22,28,20,"26,208","26,207","26,208",66,71,73,18,23,21,"25,105","25,104","25,102",73,81,74,26,33,18
E12000005,West Midlands,"66,487","66,474","66,483",70,77,73,22,31,21,"33,679","33,670","33,677",66,72,73,19,26,23,"32,808","32,804","32,806",73,82,74,26,36,19
E12000006,East,"65,856","65,853","65,854",72,76,74,25,30,22,"33,864","33,862","33,862",68,71,73,22,26,24,"31,992","31,991","31,992",76,81,74,29,34,20
E12000007,London,"90,427","90,426","90,427",75,83,81,27,40,30,"46,032","46,032","46,032",73,80,81,24,36,32,"44,395","44,394","44,395",79,86,81,31,45,28
E12000008,South East,"93,557","93,556","93,553",74,77,75,28,31,23,"47,771","47,770","47,768",71,73,75,25,26,25,"45,786","45,786","45,785",78,82,75,32,35,21
E12000009,South West,"55,130","55,128","55,130",73,75,73,27,28,21,"28,201","28,201","28,201",70,71,73,23,24,22,"26,929","26,927","26,929",76,80,73,30,33,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND (state-funded schools),"594,496","594,453","594,444",72,78,75,25,31,23,"303,509","303,487","303,480",69,73,75,22,27,25,"290,987","290,966","290,964",76,82,76,28,36,21
