Code,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
00AA,City of London,110,64,60,36,0,0,170,,0,0,0,0,0,0,0
00AB,Barking and Dagenham,"3,970",28,"10,200",72,#,#,"14,170",,"2,400",19.1,"10,160",80.9,0,0,"12,560"
00AC,Barnet,"8,180",40.3,"12,100",59.7,10,0,"20,280",,"7,250",37.2,"12,250",62.8,10,0,"19,500"
00AD,Bexley,"1,410",8.7,"14,840",91.3,#,#,"16,250",,"1,840",10,"16,480",89.5,100,0.5,"18,420"
00AE,Brent,"10,840",60.4,"7,090",39.6,0,0,"17,930",,"8,910",53.7,"7,660",46.2,10,0,"16,580"
00AF,Bromley,"1,330",6.7,"18,640",93.3,0,0,"19,980",,"1,960",8.8,"20,160",90.8,70,0.3,"22,190"
00AG,Camden,"5,060",58.1,"3,650",41.9,0,0,"8,720",,"4,530",45.5,"5,430",54.5,0,0,"9,960"
00AH,Croydon,"5,590",23.9,"17,760",76,20,0.1,"23,360",,"3,620",19.6,"14,800",80.1,60,0.3,"18,480"
00AJ,Ealing,"11,170",56,"8,780",44,10,0,"19,960",,"7,360",47.9,"7,990",52.1,0,0,"15,350"
00AK,Enfield,"9,020",41.4,"12,770",58.6,#,#,"21,790",,"8,120",36.6,"14,090",63.4,10,0,"22,220"
00AL,Greenwich,"5,120",32.6,"10,590",67.4,0,0,"15,710",,"4,980",34.6,"9,420",65.4,#,#,"14,400"
00AM,Hackney,"7,300",54,"6,220",46,#,#,"13,520",,"3,280",49.8,"3,310",50.2,0,0,"6,590"
00AN,Hammersmith and Fulham,"3,280",45.2,"3,960",54.7,#,#,"7,240",,"2,340",38.9,"3,670",60.9,10,0.2,"6,020"
00AP,Haringey,"8,780",53.3,"7,700",46.7,0,0,"16,480",,"5,360",45.2,"6,500",54.8,0,0,"11,870"
00AQ,Harrow,"8,180",50.8,"7,920",49.2,#,#,"16,100",,"4,120",45.3,"4,970",54.7,#,#,"9,090"
00AR,Havering,890,5.6,"15,010",94.4,0,0,"15,900",,710,4.3,"15,880",95.7,#,#,"16,590"
00AS,Hillingdon,"5,550",30.4,"12,680",69.4,40,0.2,"18,280",,"4,600",26.9,"12,480",73,20,0.1,"17,100"
00AT,Hounslow,"7,290",50.6,"7,120",49.4,0,0,"14,410",,"8,760",52.5,"7,920",47.5,#,#,"16,680"
00AU,Islington,"4,480",41.2,"6,390",58.8,#,#,"10,870",,"3,860",48.6,"4,080",51.4,#,#,"7,940"
00AW,Kensington and Chelsea,"2,910",53.2,"2,560",46.8,0,0,"5,480",,"1,600",45.6,"1,910",54.4,0,0,"3,510"
00AX,Kingston upon Thames,"2,230",24.9,"6,740",75.1,#,#,"8,970",,"2,220",23,"7,440",77,0,0,"9,660"
00AY,Lambeth,"7,080",46.6,"8,130",53.4,0,0,"15,210",,"3,490",42.6,"4,710",57.4,0,0,"8,190"
00AZ,Lewisham,"5,500",33,"11,150",66.9,10,0,"16,660",,"3,170",28.6,"7,900",71.3,10,0.1,"11,070"
00BA,Merton,"3,360",31.1,"7,450",68.9,0,0,"10,800",,"1,990",27.8,"5,170",72.2,0,0,"7,150"
00BB,Newham,"16,670",72.1,"6,410",27.7,40,0.2,"23,120",,"11,970",65.5,"6,290",34.4,10,0,"18,260"
00BC,Redbridge,"9,920",53,"8,780",46.9,10,0.1,"18,720",,"9,770",46.5,"11,200",53.4,20,0.1,"20,980"
00BD,Richmond upon Thames,"1,680",16.2,"8,670",83.7,10,0.1,"10,360",,"1,160",16.2,"5,970",83.8,0,0,"7,130"
00BE,Southwark,"7,260",42,"10,020",58,0,0,"17,270",,"3,850",46.3,"4,460",53.6,#,#,"8,300"
00BF,Sutton,"1,530",13.3,"9,990",86.6,10,0.1,"11,530",,"2,050",12.5,"14,260",87.3,30,0.2,"16,340"
00BG,Tower Hamlets,"12,760",76.1,"4,010",23.9,0,0,"16,770",,"9,930",68.7,"4,530",31.3,#,#,"14,470"
00BH,Waltham Forest,"7,530",45.6,"8,960",54.4,0,0,"16,490",,"4,700",35.6,"8,510",64.4,0,0,"13,220"
00BJ,Wandsworth,"5,350",40.8,"7,770",59.2,#,#,"13,120",,"3,950",37.8,"6,480",62.1,#,#,"10,430"
00BK,Westminster,"5,850",69.1,"2,610",30.9,0,0,"8,460",,"3,490",52.1,"3,200",47.8,#,#,"6,690"
,,,,,,,,,,,,,,,,
1B,Inner London,"92,390",53.4,"80,640",46.6,60,0,"173,090",,"60,810",49.3,"62,460",50.7,30,0,"123,310"
1C,Outer London,"104,780",33.7,"206,070",66.3,120,0,"310,980",,"86,520",29.5,"206,790",70.4,320,0.1,"293,630"
,,,,,,,,,,,,,,,,
A,North East,"6,810",4.3,"151,590",95.7,60,0,"158,450",,"5,930",3.4,"166,650",96.6,10,0,"172,590"
B,North West,"44,400",9.5,"423,640",90.5,20,0,"468,060",,"29,760",6.6,"422,450",93.4,170,0,"452,380"
D,Yorkshire and the Humber,"40,830",11.9,"302,670",88.1,10,0,"343,510",,"29,710",8.8,"308,790",91.2,20,0,"338,520"
E,East Midlands,"25,040",8.7,"263,310",91.3,60,0,"288,410",,"20,220",6.9,"273,720",93.1,140,0,"294,070"
F,West Midlands,"58,250",15.8,"310,720",84.2,80,0,"369,050",,"44,600",12.1,"323,660",87.9,100,0,"368,370"
G,East,"26,540",7.5,"329,240",92.5,350,0.1,"356,120",,"23,560",6.1,"364,840",93.8,520,0.1,"388,910"
H,London,"197,170",40.7,"286,720",59.2,180,0,"484,060",,"147,330",35.3,"269,250",64.6,350,0.1,"416,940"
J,South East,"37,970",7.3,"483,410",92.7,100,0,"521,470",,"33,350",6.5,"479,020",93.4,340,0.1,"512,710"
K,South West,"10,470",3.3,"304,550",96.6,210,0.1,"315,240",,"7,790",2.4,"315,670",97.5,210,0.1,"323,670"
,,,,,,,,,,,,,,,,
921,England,"447,480",13.5,"2,855,830",86.4,"1,070",0,"3,304,370",,"342,240",10.5,"2,924,050",89.5,"1,860",0.1,"3,268,160"
