Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
E09000001,City of London,113,65,62,35,0,0,175,,.,.,.,.,.,.,.
E09000002,Barking and Dagenham,"10,419",53,"9,289",47,139,1,"19,847",,"5,291",39,"8,072",60,107,1,"13,470"
E09000003,Barnet,"11,327",48,"12,059",51,226,1,"23,612",,"9,083",39,"14,069",60,214,1,"23,366"
E09000004,Bexley,"3,123",18,"14,310",82,8,0,"17,441",,"2,530",13,"17,659",87,108,1,"20,297"
E09000005,Brent,"14,585",68,"6,789",32,60,0,"21,434",,"10,764",57,"8,054",42,167,1,"18,985"
E09000006,Bromley,"2,856",13,"18,759",87,80,0,"21,695",,"1,863",9,"19,934",91,74,0,"21,871"
E09000007,Camden,"5,667",61,"3,532",38,39,0,"9,238",,"4,879",50,"4,859",50,57,1,"9,795"
E09000008,Croydon,"9,200",35,"17,012",65,40,0,"26,252",,"5,325",24,"16,452",75,81,0,"21,858"
E09000009,Ealing,"15,689",64,"8,851",36,3,0,"24,543",,"9,935",54,"8,277",45,73,0,"18,285"
E09000010,Enfield,"12,601",48,"13,364",51,130,1,"26,095",,"9,814",44,"12,293",55,176,1,"22,283"
E09000011,Greenwich,"8,117",42,"10,980",57,30,0,"19,127",,"4,975",34,"9,418",64,291,2,"14,684"
E09000012,Hackney,"8,583",55,"6,902",45,35,0,"15,520",,"5,628",45,"6,753",54,87,1,"12,468"
E09000013,Hammersmith and Fulham,"3,959",49,"4,091",51,1,0,"8,051",,"3,616",43,"4,823",57,45,1,"8,484"
E09000014,Haringey,"10,114",56,"7,946",44,159,1,"18,219",,"6,079",48,"6,612",52,61,1,"12,752"
E09000015,Harrow,"10,832",64,"5,956",35,20,0,"16,808",,"7,201",58,"5,252",42,34,0,"12,487"
E09000016,Havering,"2,664",15,"14,651",84,51,0,"17,366",,"1,557",10,"14,741",90,64,0,"16,362"
E09000017,Hillingdon,"9,993",46,"11,819",54,95,0,"21,907",,"7,774",40,"11,816",60,31,0,"19,621"
